GAME_ID,AWAY_TEAM_ID,INN_CT,BAT_HOME_ID,OUTS_CT,BALLS_CT,STRIKES_CT,PITCH_SEQ_TX,AWAY_SCORE_CT,HOME_SCORE_CT,BAT_ID,BAT_HAND_CD,RESP_BAT_ID,RESP_BAT_HAND_CD,PIT_ID,PIT_HAND_CD,RESP_PIT_ID,RESP_PIT_HAND_CD,POS2_FLD_ID,POS3_FLD_ID,POS4_FLD_ID,POS5_FLD_ID,POS6_FLD_ID,POS7_FLD_ID,POS8_FLD_ID,POS9_FLD_ID,BASE1_RUN_ID,BASE2_RUN_ID,BASE3_RUN_ID,EVENT_TX,LEADOFF_FL,PH_FL,BAT_FLD_CD,BAT_LINEUP_ID,EVENT_CD,BAT_EVENT_FL,AB_FL,H_FL,SH_FL,SF_FL,EVENT_OUTS_CT,DP_FL,TP_FL,RBI_CT,WP_FL,PB_FL,FLD_CD,BATTEDBALL_CD,BUNT_FL,FOUL_FL,BATTEDBALL_LOC_TX,ERR_CT,ERR1_FLD_CD,ERR1_CD,ERR2_FLD_CD,ERR2_CD,ERR3_FLD_CD,ERR3_CD,BAT_DEST_ID,RUN1_DEST_ID,RUN2_DEST_ID,RUN3_DEST_ID,BAT_PLAY_TX,RUN1_PLAY_TX,RUN2_PLAY_TX,RUN3_PLAY_TX,RUN1_SB_FL,RUN2_SB_FL,RUN3_SB_FL,RUN1_CS_FL,RUN2_CS_FL,RUN3_CS_FL,RUN1_PK_FL,RUN2_PK_FL,RUN3_PK_FL,RUN1_RESP_PIT_ID,RUN2_RESP_PIT_ID,RUN3_RESP_PIT_ID,GAME_NEW_FL,GAME_END_FL,PR_RUN1_FL,PR_RUN2_FL,PR_RUN3_FL,REMOVED_FOR_PR_RUN1_ID,REMOVED_FOR_PR_RUN2_ID,REMOVED_FOR_PR_RUN3_ID,REMOVED_FOR_PH_BAT_ID,REMOVED_FOR_PH_BAT_FLD_CD,PO1_FLD_CD,PO2_FLD_CD,PO3_FLD_CD,ASS1_FLD_CD,ASS2_FLD_CD,ASS3_FLD_CD,ASS4_FLD_CD,ASS5_FLD_CD,EVENT_ID
ANA202008020,HOU,8,0,0,1,0,0,3,4,toroa001,L,toroa001,L,mayem001,R,mayem001,R,stasm001,thaim001,rengl001,renda001,fletd002,uptoj001,goodb001,wardt002,corrc001,NULL,NULL,9/F9LD,0,0,11,9,2,0,0,0,0,0,1,0,0,0,0,0,9,F,0,0,9LD,0,0,N,0,N,0,N,0,1,0,0,9,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,mayem001,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,garnd001,2,9,0,0,0,0,0,0,0,70
ANA202008020,HOU,9,1,0,1,1,1,4,4,fletd002,R,fletd002,R,valdf001,L,valdf001,L,stubg001,gurry001,altuj001,brega001,corrc001,tuckk001,sprig001,reddj001,thaim001,NULL,NULL,46(1)/FO/G4.B-1,0,0,6,1,2,0,0,0,0,0,1,0,0,0,0,0,4,G,0,0,4,0,0,N,0,N,0,N,1,0,0,0,NULL,46,NULL,NULL,0,0,0,0,0,0,0,0,0,valdf001,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,0,6,0,0,4,0,0,0,0,83
ANA202008020,HOU,9,1,1,1,2,0,4,4,rengl001,R,rengl001,R,valdf001,L,valdf001,L,stubg001,gurry001,altuj001,brega001,corrc001,tuckk001,sprig001,reddj001,fletd002,NULL,NULL,K,0,0,4,2,3,0,0,0,0,0,1,0,0,0,0,0,0,NULL,0,0,NULL,0,0,N,0,N,0,N,0,1,0,0,2,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,valdf001,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,0,2,0,0,0,0,0,0,0,84
ANA202008020,HOU,9,1,2,1,0,0,4,4,renda001,R,renda001,R,valdf001,L,valdf001,L,stubg001,gurry001,altuj001,brega001,corrc001,tuckk001,sprig001,reddj001,fletd002,NULL,NULL,9/L89XD+,0,0,5,3,2,0,0,0,0,0,1,0,0,0,0,0,9,L,0,0,89XD,0,0,N,0,N,0,N,0,1,0,0,9,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,valdf001,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,0,9,0,0,0,0,0,0,0,85
ANA202008020,HOU,9,0,0,1,2,0,3,4,branm003,L,branm003,L,buttt001,R,buttt001,R,stasm001,thaim001,rengl001,renda001,fletd002,hermm001,goodb001,wardt002,NULL,NULL,NULL,D7/L78D+,0,0,10,4,21,0,0,2,0,0,0,0,0,0,0,0,7,L,0,0,78D,0,0,N,0,N,0,N,2,0,0,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,77
ANA202008020,HOU,9,0,0,0,0,0,3,4,gurry001,R,gurry001,R,buttt001,R,buttt001,R,stasm001,thaim001,rengl001,renda001,fletd002,hermm001,goodb001,wardt002,NULL,stram002,NULL,8/L8D,0,0,3,5,2,0,0,0,0,0,1,0,0,0,0,0,8,L,0,0,8D,0,0,N,0,N,0,N,0,0,2,0,8,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,buttt001,NULL,0,0,0,0,0,NULL,0,NULL,NULL,0,8,0,0,0,0,0,0,0,78
ANA202008020,HOU,9,0,1,0,1,0,3,4,reddj001,L,reddj001,L,buttt001,R,buttt001,R,stasm001,thaim001,rengl001,renda001,fletd002,hermm001,goodb001,wardt002,NULL,stram002,NULL,S8/G6M.2-H,0,0,9,6,20,0,0,1,0,0,0,0,0,1,0,0,8,G,0,0,6M,0,0,N,0,N,0,N,1,0,4,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,buttt001,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,79
ANA202008020,HOU,9,0,1,0,0,0,4,4,tuckk001,L,tuckk001,L,buttt001,R,buttt001,R,stasm001,thaim001,rengl001,renda001,fletd002,hermm001,goodb001,wardt002,reddj001,NULL,NULL,OA.1X2(26),0,0,7,7,12,0,0,0,0,0,1,0,0,0,0,0,0,NULL,0,0,NULL,0,0,N,0,N,0,N,0,0,0,0,NULL,26,NULL,NULL,0,0,0,0,0,0,0,0,0,buttt001,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,0,6,0,0,2,0,0,0,0,80
ANA202008020,HOU,9,0,2,1,1,0,4,4,tuckk001,L,tuckk001,L,buttt001,R,buttt001,R,stasm001,thaim001,rengl001,renda001,fletd002,hermm001,goodb001,wardt002,NULL,NULL,NULL,9/L89XD,0,0,7,7,2,0,0,0,0,0,1,0,0,0,0,0,9,L,0,0,89XD,0,0,N,0,N,0,N,0,0,0,0,9,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,0,9,0,0,0,0,0,0,0,81
ANA202008020,HOU,9,1,0,3,0,0,4,4,thaim001,L,thaim001,L,valdf001,L,valdf001,L,stubg001,gurry001,altuj001,brega001,corrc001,tuckk001,sprig001,reddj001,NULL,NULL,NULL,W,0,0,3,9,14,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,NULL,0,0,N,0,N,0,N,1,0,0,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,82
